#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T02:07:28 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T02:07:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/271/19/table3&-order=I&-out=Gaia&-out=RAJ2000&-out=DEJ2000&-out=SNR-G&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=FeH&-out=e_FeH&-out=a/Fe&-out=e_a/Fe&-out=GMag&-out=e_GMag&-out=LFlame&-out=e_LFlame&-out=KIC&-out=Prot&-out=e_Prot&-out=Sph&-out=e_Sph&-out=S-index&-out=e_S-index&-out=SNR&-out=logRHK&-out=e_logRHK&-out=Mass&-out=e_Mass&-out=Age&-out=e_Age&-out=DR7&DR7=DR7&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22710019
#Name: J/ApJS/271/19
#Title: FGK dwarfs from LAMOST DR7 and Gaia DR3 and Kepler (Ye+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	creator=Ye L.	    First author or institution
#INFO	cites=bibcode:2024ApJS..271...19Y	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/271/19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22710019	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_271_19_table3:
#Name: J/ApJS/271/19/table3
#Title: Sample
#Column	Gaia	(I19)	Gaia DR3 identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-9.3/78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SNR-G	(F6.2)	[50/748] Spectral S/N per pixel in SDSS g-band	[ucd=stat.snr]
#Column	Teff	(I4)	[5000/6499] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I2)	[1/38] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[3.6/4.8] Log surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0/0.08] Uncertainty in logg	[ucd=stat.error]
#Column	FeH	(F5.2)	[-1/0.5] Log iron abundance relative to hydrogen	[ucd=phys.abund.Fe]
#Column	e_FeH	(F5.2)	[0/0.1] Uncertainty in FeH	[ucd=stat.error]
#Column	a/Fe	(F5.2)	[-0.07/0.33] Log Alpha element to iron abundance ratio	[ucd=phys.abund]
#Column	e_a/Fe	(F5.2)	[0/0.03] Uncertainty in a/Fe	[ucd=stat.error;phys.abund]
#Column	GMag	(F5.2)	[1.9/6.4] Absolute magnitude in Gaia G band	[ucd=phys.magAbs;em.opt]
#Column	e_GMag	(F5.2)	[0/0.8] Standard error of Gmag	[ucd=stat.error;phot.mag]
#Column	LFlame	(F7)	[0.25/11.7] Stellar luminosity with FLAME pipeline	[ucd=phys.luminosity]
#Column	e_LFlame	(F7)	[0.001/1.1] Standard error of LFlame	[ucd=stat.error]
#Column	KIC	(I8)	[1026838/12935035]? Kepler Input Catalog identifier	[ucd=meta.id.cross]
#Column	Prot	(F5.2)	[0.49/63]? Rotation Period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0.02/10.2]? Uncertainty in Prot	[ucd=stat.error]
#Column	Sph	(F7.1)	[0.2/12192]? Amplitude brightness variations	[ucd=src.var.amplitude]
#Column	e_Sph	(F6.1)	[1/1022]? Uncertainty in Sph	[ucd=stat.error]
#Column	S-index	(F6.3)	[0.13/0.4]? Weight average value of S_L_ index	[ucd=spect.index]
#Column	e_S-index	(F6.3)	[0.002/0.03]? Uncertainty in S-index	[ucd=stat.error]
#Column	SNR	(F6.2)	[100/748]? S-index S/N	[ucd=stat.snr]
#Column	logRHK	(F7.4)	[-8.3/-4.1]? Chromospheric activity index, logR_HK_^+^	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	[0.0025/0.06]? Uncertainty in logRHK	[ucd=stat.error]
#Column	Mass	(F5.2)	[0.7/1.4] Mass with grid-based modelling	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	[0/0.2] Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	Age	(F5.2)	[0.1/13.8] Age with grid-based modelling	[ucd=time.age]
#Column	e_Age	(F5.2)	[0.01/4.4] Uncertainty in Age	[ucd=stat.error;time.age]
#Column	DR7	(A3)	Display data from LAMOST DR7 LRS (V/156) within 2"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Gaia;RAJ2000;DEJ2000;SNR-G;Teff;e_Teff;logg;e_logg;FeH;e_FeH;a/Fe;e_a/Fe;GMag;e_GMag;LFlame;e_LFlame;KIC;Prot;e_Prot;Sph;e_Sph;S-index;e_S-index;SNR;logRHK;e_logRHK;Mass;e_Mass;Age;e_Age;DR7;Simbad
2052599406599247872;290.81662;+37.87750;224.59;5664; 6; 4.33; 0.01; 0.25; 0.01;-0.01; 0.01; 4.47; 0.05;  1e+00;  1e-02; 2572932;33.28; 5.02;  479.7;  11.9; 0.147; 0.004;224.32;-5.4020; 0.0122; 1.06; 0.01; 6.90; 0.27;DR7;Simbad
2052572983959624576;291.15826;+37.86945;113.89;6157;13; 4.09; 0.03;-0.02; 0.03; 0.01; 0.02; 3.54; 0.23;  3e+00;  7e-02; 2574421; 7.66; 0.70;  126.4;  10.7; 0.152; 0.007;113.54;-5.3610; 0.0187; 1.28; 0.01; 3.31; 0.14;DR7;Simbad
2052030512417875072;293.60163;+37.83111;105.55;5344;11; 4.51; 0.02; 0.21; 0.03;-0.02; 0.01; 5.32; 0.01;  6e-01;  7e-03; 2585767; 9.83; 0.71; 2132.7;  90.7; 0.226; 0.007;105.57;-4.6891; 0.0139; 0.96; 0.01; 1.67; 0.96;DR7;Simbad
2052798177683350656;290.33887;+37.99525;140.29;6085;10; 4.33; 0.02; 0.07; 0.02; 0.00; 0.02; 4.07; 0.02;  2e+00;  2e-02; 2708367;10.07; 1.17;  210.1;  12.2; 0.186; 0.005;139.69;-4.8411; 0.0115; 1.14; 0.01; 3.04; 0.25;DR7;Simbad
2052562950915998848;291.69473;+37.90806;104.53;5209;11; 4.50; 0.02; 0.11; 0.03; 0.00; 0.01; 5.56; 0.04;  5e-01;  8e-03; 2714250;23.54; 2.20; 1848.1;  51.5; 0.184; 0.008;103.85;-4.9577; 0.0189; 0.88; 0.02; 6.11; 1.61;DR7;Simbad
2052582673406245248;291.30518;+38.08841;100.03;6185;15; 4.28; 0.03;-0.16; 0.04; 0.03; 0.02; 3.68; 0.03;  3e+00;  7e-02; 2851750;13.59; 0.97;  717.5;  14.8; 0.183; 0.008;100.04;-4.8729; 0.0176; 1.16; 0.02; 4.07; 0.23;DR7;Simbad
2052660876170760704;291.72519;+38.06378;207.78;5643; 6; 4.42; 0.01;-0.19; 0.02; 0.05; 0.01; 4.99; 0.01;  8e-01;  6e-03; 2853765;25.01; 1.99;  265.4;   4.1; 0.171; 0.004;208.35;-5.0140; 0.0097; 0.94; 0.01; 4.45; 0.77;DR7;Simbad
2099868575407384064;285.84426;+38.12803;122.28;5487;10; 4.43; 0.02;-0.04; 0.03; 0.00; 0.01; 5.21; 0.03;  6e-01;  6e-03; 2969989; 8.85; 0.64; 1808.5;  80.9; 0.248; 0.006;120.35;-4.5697; 0.0106; 0.92; 0.02; 3.50; 0.94;DR7;Simbad
2051374962963038464;289.67175;+38.29787;205.59;5302; 6; 4.52; 0.01; 0.12; 0.02; 0.01; 0.01; 5.32; 0.02;  6e-01;  6e-03; 3109550;30.17; 4.88; 1488.6;  18.0; 0.187; 0.004;205.68;-4.9161; 0.0098; 0.90; 0.01; 7.52; 0.43;DR7;Simbad
2052679705307348480;291.44705;+38.29984;148.17;5984; 9; 4.43; 0.02;-0.21; 0.03; 0.03; 0.01; 4.67; 0.02;  1e+00;  1e-02; 3116513;10.96; 0.92; 1004.7;  42.3; 0.192; 0.005;149.37;-4.7942; 0.0107; 1.00; 0.01; 2.61; 0.56;DR7;Simbad
2051940215021017856;292.25110;+38.28986;100.94;5866;13; 4.37; 0.03; 0.07; 0.03; 0.02; 0.01; 3.81; 0.11;  2e+00;  4e-02; 3120146;17.00; 1.63;  491.9;  18.9; 0.194; 0.008;100.98;-4.7911; 0.0176; 1.18; 0.02; 5.16; 0.27;DR7;Simbad
2051929181244480384;292.83578;+38.31278;233.09;5546; 5; 4.39; 0.01;-0.17; 0.01; 0.03; 0.01; 5.04; 0.01;  7e-01;  6e-03; 3240623;12.10; 0.88; 5603.5; 208.0; 0.249; 0.003;233.31;-4.5560; 0.0056; 0.86; 0.01; 9.98; 0.39;DR7;Simbad
2099597034692519680;287.13882;+38.44837;112.21;6218;13; 4.24; 0.03; 0.03; 0.03; 0.00; 0.02; 3.82; 0.02;  2e+00;  3e-02; 3327884; 7.89; 0.52;   58.3;   6.7; 0.169; 0.006;112.21;-5.0281; 0.0157; 1.20; 0.01; 2.59; 0.23;DR7;Simbad
2099559685657382784;288.03189;+38.46927;126.86;5550;10; 4.51; 0.02;-0.41; 0.03; 0.09; 0.01; 5.29; 0.03;  6e-01;  7e-03; 3330409;22.88; 2.40;   94.9;   4.5; 0.189; 0.006;127.30;-4.8611; 0.0130; 0.82; 0.02; 7.79; 1.63;DR7;Simbad
2052869267982680192;290.06418;+38.44947;179.96;5798; 7; 4.15; 0.02; 0.28; 0.02; 0.00; 0.01; 3.72; 0.01;  2e+00;  3e-02; 3337168;19.94; 3.47;  134.6;   6.0; 0.167; 0.004;179.86;-5.0440; 0.0112; 1.24; 0.02; 4.50; 0.08;DR7;Simbad
2052822916695702784;290.20398;+38.41456;247.61;6051; 6; 4.34; 0.01;-0.17; 0.02; 0.02; 0.01; 3.57; 0.02;  3e+00;  4e-02; 3337693;15.89; 2.65;   59.6;   4.0; 0.172; 0.004;247.84;-4.9853; 0.0101; 1.10; 0.02; 6.21; 0.44;DR7;Simbad
2052731863391554176;291.37748;+38.48271;155.45;6077;10; 4.16; 0.02;-0.39; 0.03; 0.07; 0.02; 3.82; 0.01;  2e+00;  2e-02; 3341897; 5.32; 0.39;  824.7;  48.9; 0.245; 0.005;155.72;-4.5024; 0.0095; 1.02; 0.01; 7.05; 0.29;DR7;Simbad
2052681388934740352;291.65018;+38.40937;168.96;5419; 7; 4.45; 0.01; 0.18; 0.02;-0.01; 0.01; 5.15; 0.01;  6e-01;  6e-03; 3342952;21.81; 2.31; 1348.7;  38.4; 0.193; 0.004;169.13;-4.8510; 0.0096; 0.96; 0.01; 4.39; 0.64;DR7;Simbad
2052685477743851008;291.91238;+38.46323;191.85;6200; 8; 4.25; 0.02;-0.07; 0.02; 0.04; 0.01; 3.96; 0.01;  2e+00;  2e-02; 3344059; 9.00; 0.71;   59.5;   5.4; 0.163; 0.004;191.30;-5.1231; 0.0107; 1.14; 0.01; 2.66; 0.12;DR7;Simbad
2052696679018875392;292.08670;+38.47972;116.41;5592;11; 4.29; 0.02;-0.40; 0.03; 0.23; 0.01; 4.92; 0.04;  8e-01;  7e-03; 3344810;37.45; 3.92;  633.1;  15.0; 0.187; 0.007;116.74;-4.8718; 0.0163; 0.84; 0.01;12.58; 0.73;DR7;Simbad
2052875418375872000;289.95761;+38.58867;331.94;6352; 4; 4.17; 0.01; 0.03; 0.01; 0.02; 0.01; 3.32; 0.01;  3e+00;  4e-02; 3438363; 4.70; 0.35;   29.6;   4.3; 0.158; 0.004;331.95;-5.2413; 0.0116; 1.32; 0.01; 2.22; 0.06;DR7;Simbad
2052829685564350592;290.32922;+38.54923;120.62;5970;11; 4.37; 0.02;-0.06; 0.03; 0.00; 0.01; 4.35; 0.04;  1e+00;  2e-02; 3439745;11.92; 1.43;  736.7;  31.0; 0.196; 0.006;120.71;-4.7692; 0.0137; 1.04; 0.02; 4.94; 0.52;DR7;Simbad
2052733748878002688;291.44241;+38.57952;212.37;6119; 7; 4.29; 0.01;-0.02; 0.02; 0.00; 0.01; 3.96; 0.05;  2e+00;  1e-02; 3443669;10.55; 0.84;   50.8;   4.5; 0.171; 0.005;213.38;-4.9958; 0.0118; 1.14; 0.01; 3.26; 0.14;DR7;Simbad
2052308654496925568;292.91702;+38.55521;131.41;6079;11; 4.32; 0.02;-0.16; 0.03; 0.03; 0.02; 4.08; 0.16;  2e+00;  2e-02; 3449458;12.06; 1.89;  148.9;   8.6; 0.157; 0.005;131.01;-5.2191; 0.0149; 1.06; 0.01; 4.04; 0.21;DR7;Simbad
2100024847795314688;285.94975;+38.62921;172.38;6057; 9; 4.45; 0.02;-0.08; 0.02;-0.03; 0.01; 3.63; 0.02;  3e+00;  3e-02; 3527869; 3.65; 0.33; 1430.1; 100.6; 0.217; 0.005;172.21;-4.6331; 0.0089; 1.18; 0.01; 4.47; 0.10;DR7;Simbad
2052881603129014528;290.16700;+38.70506;170.60;5720; 7; 4.38; 0.02;-0.01; 0.02; 0.01; 0.01; 4.75; 0.02;  9e-01;  8e-03; 3641130;14.59; 1.45; 1805.2;  63.1; 0.198; 0.004;170.79;-4.7733; 0.0087; 1.00; 0.01; 3.55; 0.58;DR7;Simbad
2052847209030489984;290.85751;+38.72638;120.66;6243;12; 4.25; 0.03;-0.13; 0.03; 0.02; 0.02; 3.69; 0.09;  3e+00;  7e-02; 3643461;18.22; 1.29;  124.9;   7.3; 0.213; 0.005;120.55;-4.6468; 0.0100; 1.20; 0.01; 3.42; 0.18;DR7;Simbad
2100149126969167360;285.24446;+38.83892;116.57;6167;13; 4.13; 0.03;-0.18; 0.03; 0.03; 0.02; 3.32; 0.05;  4e+00;  7e-02; 3728762; 8.49; 0.66;   68.4;   7.7; 0.160; 0.008;116.52;-5.1734; 0.0203; 1.14; 0.04; 5.23; 0.49;DR7;Simbad
2099587001649521664;287.95165;+38.85513;147.30;6322;10; 4.13; 0.02; 0.01; 0.03; 0.03; 0.01; 3.11; 0.05;  4e+00;  7e-02; 3735546; 6.31; 0.70;  883.7;  48.8; 0.196; 0.005;146.64;-4.7586; 0.0099; 1.36; 0.01; 2.46; 0.11;DR7;Simbad
2052863220669445760;290.67661;+38.84047;197.66;5933; 7; 4.29; 0.02;-0.11; 0.02; 0.03; 0.01; 4.33; 0.02;  1e+00;  2e-02; 3744244;15.69; 1.24;   66.4;   4.8; 0.198; 0.003;200.72;-4.7590; 0.0069; 1.00; 0.01; 6.37; 0.18;DR7;Simbad
2052942797824072448;291.04871;+38.85943;158.00;5730; 8; 4.36; 0.02; 0.03; 0.02; 0.03; 0.01; 4.70; 0.03;  1e+00;  1e-02; 3745516;18.96; 2.14;  433.8;  15.8; 0.209; 0.004;158.05;-4.7062; 0.0081; 1.02; 0.01; 3.98; 0.66;DR7;Simbad
2052940495721493504;291.23163;+38.83996;199.48;5652; 7; 4.24; 0.01;-0.07; 0.02; 0.05; 0.01; 4.31; 0.02;  1e+00;  1e-02; 3746157;46.06; 5.31;  446.7;   9.8; 0.196; 0.004;199.63;-4.7998; 0.0081; 0.96; 0.01;11.55; 0.49;DR7;Simbad
2052946611754933120;291.25980;+38.89800;153.51;6346;10; 4.34; 0.02; 0.01; 0.03; 0.02; 0.01; 3.81; 0.02;  2e+00;  4e-02; 3746248; 1.40; 0.10; 1884.4; 212.3; 0.261; 0.005;153.52;-4.4246; 0.0076; 1.22; 0.01; 1.45; 0.28;DR7;Simbad
2099590643781832192;287.95938;+38.94894;180.84;5975; 7; 4.17; 0.02; 0.06; 0.02;-0.02; 0.01; 3.72; 0.01;  2e+00;  3e-02; 3839042;16.16; 1.55;   55.0;   3.8; 0.150; 0.004;181.10;-5.3791; 0.0124; 1.20; 0.01; 4.35; 0.10;DR7;Simbad
