#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-23T23:05:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-23T23:05:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/132/161/table2&-order=I&-out=Name&-out=HIP&-out=n_HIP&-out=HD/DM&-out=SpType&-out=n_SpType&-out=Teff&-out=log(g)&-out=VTurb&-out=[M/H]&-out.all=2&-out=Note&-out=Fit&-out=SMW&-out=logR&-out=AC&-out=n_AC&-out=Obs&-out=t5&-out=SimbadName&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51320161
#Name: J/AJ/132/161
#Title: NStars project: The southern sample. I. (Gray+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	creator=Gray R.O.	    First author or institution
#INFO	cites=bibcode:2006AJ....132..161G	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/132/161	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51320161	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-11-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_132_161_table2:
#Name: J/AJ/132/161/table2
#Title: Spectral types, basic physical parameters and chromospheric indices
#Column	Name	(A10)	Star name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos catalog designation	[ucd=meta.id]
#Column	n_HIP	(A1)	[*] For HIP 117815, 2 HD designations	[ucd=meta.note]
#Column	HD/DM	(a8)	The HD or DM designation	[ucd=meta.id]
#Column	SpType	(a22)	MK Spectral type	[ucd=src.spType]
#Column	n_SpType	(A1)	[*] Note on the spectral type in notes.dat file	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	VTurb	(F4.1)	? Microturbulent velocity	[ucd=phys.veloc]
#Column	[M/H]	(F5.2)	? Overall metal abundance (2)	[ucd=phys.abund.Z]
#Column	Note	(A1)	[*] indicates a note detailed in notes.dat file	[ucd=meta.note]
#Column	Fit	(A1)	[K] Remark on the fitting process (3)	[ucd=meta.note]
#Column	SMW	(F6.3)	? Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	logR	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	AC	(A2)	Chromospheric activity class (4)	[ucd=src.class]
#Column	n_AC	(A1)	[*] Note on the chromospheric activity in notes.dat file	[ucd=meta.note]
#Column	Obs	(a7)	Spectrum source (5)	[ucd=meta.id;instr.tel]
#Column	t5	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;HIP;n_HIP;HD/DM;SpType;n_SpType;Teff;log(g);VTurb;[M/H];Note;Fit;SMW;logR;AC;n_AC;Obs;t5;SimbadName;_RA;_DE
HIP   1546;  1546; ;        ;M0.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   1546       ;004.82211;-19.90853
HIP   1599;  1599; ;1581    ;F9.5 V                ; ; 5991; 4.41; 1.0;-0.23; ; ; 0.177; -4.855;I ; ;CTIO   ; ;HIP   1599       ;005.01775;-64.87479
HIP   1608;  1608; ;        ;M1+ V (k)             ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   1608       ;005.03492;-17.06139
HIP   1768;  1768; ;1815    ;K2 V (k)              ; ; 4907; 4.65; 1.0;-0.37; ; ; 0.350; -4.639;A ; ;SO     ; ;HIP   1768       ;005.59818;-27.03251
HIP   1803;  1803; ;1835    ;G5 V CH-0.5           ; ; 5756; 4.40; 1.0; 0.13; ; ; 0.299; -4.527;A ; ;SO     ; ;HIP   1803       ;005.71578;-12.20944
HIP   1837;  1837; ;1910    ;K4 V (k)              ; ;     ;     ;    ;     ; ; ; 0.883; -4.457;A ; ;SO     ; ;HIP   1837       ;005.81651;-33.16753
HIP   1936;  1936; ;2025    ;K3 V                  ; ; 4761; 4.62; 1.0;-0.32; ; ; 0.219; -4.933;I ; ;SO     ; ;HIP   1936       ;006.10806;-27.02677
HIP   1954;  1954; ;2071    ;G2 V                  ; ; 5709; 4.55; 1.0;-0.10; ; ; 0.173; -4.933;I ; ;CTIO   ;S;HIP   1954       ;006.17729;-53.98400
HIP   1955;  1955; ;2070    ;G0 V                  ; ; 5930; 4.26; 1.0;-0.16; ; ; 0.166; -4.931;I ; ;CTIO   ; ;HIP   1955       ;006.18672;-51.04386
HIP   2021;  2021; ;2151    ;G0 V                  ; ; 5784; 4.04; 1.0;-0.23; ; ; 0.155; -5.006;I ; ;CTIO   ; ;HIP   2021       ;006.43779;-77.25425
HIP   2072;  2072; ;2262    ;A5 IVn                ; ; 7922; 3.97; 2.0;-0.07; ; ;      ;       ;  ; ;CTIO   ; ;HIP   2072       ;006.55084;-43.67983
HIP   2081;  2081; ;2261    ;K0.5 IIIb             ; ; 4436; 2.53; 1.0;-0.73; ;K;      ;       ;  ; ;CTIO   ; ;HIP   2081       ;006.57105;-42.30599
HIP   2235;  2235; ;2454    ;F5 V Sr               ;*; 6516; 4.20; 2.1;-0.26; ; ; 0.285; -4.427;A ; ;CTIO   ; ;HIP   2235       ;007.08352;+10.18981
HIP   2237;  2237; ;2475    ;F9 V Fe+0.5           ; ; 5897; 4.24; 1.0; 0.02; ; ; 0.245; -4.609;A ; ;SO     ; ;HIP   2237       ;007.08790;-20.33505
HIP   2247;  2247; ;-17 63  ;K4 V (k)              ; ;     ;     ;    ;     ; ; ; 0.484;       ;  ; ;SO     ; ;HIP   2247       ;007.14294;-16.22634
HIP   2663;  2663; ;3074A   ;F9- V                 ; ; 5851; 4.14; 1.0;-0.06; ; ; 0.165; -4.951;I ; ;SO     ; ;HIP   2663       ;008.43253;-35.00208
HIP   2663;  2663; ;3074B   ;K0 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   2663       ;008.43253;-35.00208
HIP   2711;  2711; ;3158    ;F6 V                  ; ; 6428; 4.20; 2.0;-0.26; ; ; 0.214; -4.635;A ; ;CTIO   ; ;HIP   2711       ;008.61597;-52.37309
HIP   2743;  2743; ;3222    ;K2 V                  ; ; 4928; 4.55; 1.0;-0.51; ; ; 0.154; -5.082;I ; ;CTIO   ; ;HIP   2743       ;008.76174;-63.69518
HIP   2790;  2790; ;3277    ;G8 V                  ; ; 5490; 4.44; 1.0;-0.12; ; ; 0.181; -4.919;I ; ;CTIO   ; ;HIP   2790       ;008.89273;-39.74629
HIP   2802;  2802; ;3302    ;F5 V+                 ; ; 6503; 4.03; 2.1;-0.13; ; ; 0.297; -4.407;A ; ;CTIO   ; ;HIP   2802       ;008.92157;-48.00091
HIP   2941;  2941; ;3443    ;G7 V                  ; ; 5480; 4.28; 1.0;-0.14; ; ; 0.170; -4.961;I ; ;SO     ; ;HIP   2941       ;009.33633;-24.76727
HIP   3053;  3053; ;4152    ;G9 V                  ; ; 5376; 4.25; 1.0;-0.09; ; ; 0.291; -4.608;A ; ;CTIO   ; ;HIP   3053       ;009.68769;-85.41244
HIP   3170;  3170; ;3823    ;G0 V Fe-0.9 CH-0.4    ; ; 6001; 4.19; 1.0;-0.35; ; ; 0.173; -4.868;I ; ;CTIO   ; ;HIP   3170       ;010.10696;-59.45460
HIP   3185;  3185; ;3795    ;K0 V Fe-1.5 CH-1.3    ; ; 5394; 3.89; 1.0;-0.46; ; ; 0.134; -5.193;VI; ;SO     ; ;HIP   3185       ;010.13665;-23.80492
HIP   3236;  3236; ;3861    ;F8 V                  ; ; 6264; 4.30; 1.0; 0.04; ; ; 0.212; -4.680;A ; ;CTIO   ; ;HIP   3236       ;010.29947;+09.35506
HIP   3249;  3249; ;-13 116 ;K7- V k               ; ;     ;     ;    ;     ; ; ; 1.978; -4.512;A ; ;SO     ; ;HIP   3249       ;010.35107;-13.17214
HIP   3261;  3261; ;        ;K9 V                  ; ;     ;     ;    ;     ; ; ; 1.232; -4.882;I ; ;SO     ; ;HIP   3261       ;010.37698;-33.62556
HIP   3337;  3337; ;4082    ;K1 V                  ; ; 5065; 4.50; 1.0;-0.16; ; ; 0.172;       ;  ; ;CTIO   ; ;HIP   3337       ;010.63841;-54.12001
HIP   3340;  3340; ;4083    ;G9 IV-V               ; ; 5331; 4.66; 1.0;-0.12; ; ; 0.170;       ;  ; ;CTIO   ; ;HIP   3340       ;010.64536;-54.11778
HIP   3419;  3419; ;4128    ;G9 II-III             ; ;     ;     ;    ;     ; ; ; 0.145;       ;  ; ;SO     ; ;HIP   3419       ;010.89738;-17.98661
HIP   3479;  3479; ;4208    ;G7 V Fe-1 CH-0.5      ; ; 5683; 4.53; 1.0;-0.23; ; ; 0.173; -4.924;I ; ;SO     ; ;HIP   3479       ;011.11104;-26.51568
HIP   3497;  3497; ;4308    ;G6 V Fe-0.9           ; ; 5746; 4.47; 1.0;-0.34; ; ; 0.188; -4.853;I ; ;CTIO   ; ;HIP   3497       ;011.16361;-65.64952
HIP   3505;  3505; ;4247    ;F3 V Fe-1             ; ; 6903; 4.13; 2.0;-0.37;*; ;      ;       ;  ; ;SO     ; ;HIP   3505       ;011.18499;-22.00613
HIP   3559;  3559; ;4307    ;G0 V                  ; ; 5784; 4.11; 1.0;-0.40; ; ; 0.147; -5.061;I ; ;SO     ; ;HIP   3559       ;011.36953;-12.88081
HIP   3578;  3578; ;4392    ;G4 V                  ; ; 5735; 4.44; 1.0; 0.08; ; ; 0.170; -4.951;I ; ;CTIO   ;S;HIP   3578       ;011.42446;-48.30127
HIP   3583;  3583; ;4391    ;G5 V Fe-0.8           ; ; 5772; 4.50; 1.0;-0.22; ; ; 0.236; -4.669;A ; ;CTIO   ; ;HIP   3583       ;011.43997;-47.55199
HIP   3588;  3588; ;4378AB  ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 0.940; -4.739;A ; ;CTIO   ; ;HIP   3588       ;011.45120;-41.90919
HIP   3765;  3765; ;4628    ;K2.5 V                ; ; 4916; 4.60; 1.0;-0.34; ; ; 0.182; -4.987;I ; ;CTIO   ; ;HIP   3765       ;012.09573;+05.28061
HIP   3850;  3850; ;4747    ;G9 V                  ; ; 5354; 4.55; 1.0;-0.16; ; ; 0.210; -4.829;I ; ;SO     ; ;HIP   3850       ;012.36150;-23.21246
HIP   3879;  3879; ;4838    ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.197; -4.470;A ; ;CTIO   ; ;HIP   3879       ;012.45131;-54.59323
HIP   3961;  3961; ;5028    ;F6 V Fe-0.4           ; ; 6472; 4.31; 2.0;-0.36; ; ; 0.448; -4.165;VA;*;CTIO   ; ;HIP   3961       ;012.71838;-71.15144
HIP   4022;  4022; ;4967    ;K7- V k               ; ;     ;     ;    ;     ; ; ; 1.357; -4.628;A ; ;SO     ; ;HIP   4022       ;012.89175;-22.91007
HIP   4024;  4024; ;4972    ;K3.5 IV-V             ; ;     ;     ;    ;     ; ; ; 0.388; -4.854;I ; ;SO     ; ;HIP   4024       ;012.89401;-14.89068
HIP   4148;  4148; ;5133    ;K2.5 V (k)            ; ; 4822; 4.55; 1.0;-0.21; ; ; 0.313; -4.751;I ; ;SO     ; ;HIP   4148       ;013.25473;-30.35691
HIP   4189;  4189; ;A       ;M1- V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP   4189       ;013.34938;-41.23850
HIP   4189;  4189; ;B       ;M2+ V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP   4189       ;013.34938;-41.23850
HIP   4353;  4353; ;5425    ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.574; -4.791;I ; ;SO     ; ;HIP   4353       ;013.95523;-29.67596
HIP   4473;  4473; ;5633    ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.077; -4.744;A ; ;CTIO   ; ;HIP   4473       ;014.33228;-62.24560
HIP   4569;  4569; ;        ;M3 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   4569       ;014.61641;-27.85705
HIP   4691;  4691; ;        ;K4.5 V                ; ;     ;     ;    ;     ; ; ; 0.473; -4.796;I ; ;SO     ; ;HIP   4691       ;015.07704;-25.61465
HIP   4855;  4855; ;6156    ;G9 V                  ;*; 5144; 4.42; 1.0;-0.17; ; ; 0.287; -4.657;A ; ;SO     ; ;HIP   4855       ;015.61554;-21.61058
HIP   4855;  4855; ;6156B   ;K0 V + K5 V           ; ;     ;     ;    ;     ; ; ; 0.343;       ;  ; ;SO     ; ;HIP   4855       ;015.61554;-21.61058
HIP   5027;  5027; ;6378    ;K5+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.835; -4.676;A ; ;SO     ; ;HIP   5027       ;016.10063;-25.60500
HIP   5224;  5224; ;6673    ;K2.5 V                ; ; 4838; 4.62; 1.0;-0.31; ; ; 0.214; -4.935;I ; ;CTIO   ; ;HIP   5224       ;016.69762;-50.98944
HIP   5260;  5260; ;        ;K7 V (k)              ; ;     ;     ;    ;     ; ; ; 1.938; -4.643;A ; ;CTIO   ; ;HIP   5260       ;016.80662;-32.42969
HIP   5280;  5280; ;6735    ;F9 V                  ; ; 6042; 4.39; 1.0;-0.21; ; ; 0.188; -4.799;I ; ;CTIO   ; ;HIP   5280       ;016.88355;-41.74670
HIP   5346;  5346; ;6763    ;F2 V                  ; ; 6893; 3.85; 1.6;-0.18; ; ;      ;       ;  ; ;CTIO   ; ;HIP   5346       ;017.09252;+05.64984
HIP   5364;  5364; ;6805    ;K1 III                ; ;     ;     ;    ;     ; ; ; 0.154;       ;  ; ;SO     ; ;HIP   5364       ;017.14746;-10.18227
HIP   5373;  5373; ;6838    ;K0- V (k)             ; ; 5149; 4.57; 1.0;-0.13; ; ; 0.578; -4.333;A ; ;SO     ; ;HIP   5373       ;017.19048;-25.86113
HIP   5496;  5496; ;        ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP   5496       ;017.59534;-67.44499
HIP   5529;  5529; ;7199    ;K1 IV                 ; ; 5003; 4.28; 1.0; 0.29; ; ; 0.179; -4.982;I ; ;CTIO   ; ;HIP   5529       ;017.69676;-66.18816
HIP   5663;  5663; ;7279    ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 1.181; -4.656;A ; ;SO     ; ;HIP   5663       ;018.19221;-25.23558
HIP   5806;  5806; ;7449    ;F9.5 V                ; ; 6004; 4.46; 1.0;-0.26; ; ; 0.190; -4.790;I ; ;CTIO   ; ;HIP   5806       ;018.62218;-05.04739
HIP   5842;  5842; ;7693    ;K2+ V (k)             ; ; 4799; 4.29; 1.0; 0.06; ; ; 0.530; -4.580;A ; ;CTIO   ; ;HIP   5842       ;018.75414;-68.81891
HIP   5862;  5862; ;7570    ;F9 V Fe+0.4           ; ; 6069; 4.30; 1.0; 0.02; ; ; 0.177; -4.861;I ; ;CTIO   ; ;HIP   5862       ;018.79634;-45.53167
HIP   5896;  5896; ;7788    ;F5 V                  ; ; 6505; 3.97; 2.5;-0.07; ; ; 0.341; -4.335;A ; ;CTIO   ; ;HIP   5896       ;018.94234;-68.87593
HIP   5896;  5896; ;7788B   ;K1 V                  ; ;     ;     ;    ;     ; ; ; 0.468;       ;  ; ;CTIO   ; ;HIP   5896       ;018.94234;-68.87593
HIP   5938;  5938; ;7661    ;G9 V (k)              ; ; 5350; 4.45; 1.0;-0.10; ; ; 0.378; -4.459;A ; ;SO     ; ;HIP   5938       ;019.10081;-12.09700
HIP   6005;  6005; ;        ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   6005       ;019.31420;-35.71589
HIP   6037;  6037; ;7808    ;K4 V                  ; ;     ;     ;    ;     ; ; ; 0.214; -5.019;I ; ;SO     ; ;HIP   6037       ;019.39177;-15.50332
HIP   6177;  6177; ;8049    ;K2 V (k)              ; ; 4941; 4.52; 1.0;-0.19; ; ; 0.769; -4.246;A ; ;CTIO   ; ;HIP   6177       ;019.81192;-43.62984
HIP   6206;  6206; ;8076    ;G1 V                  ; ; 5834; 4.42; 1.0;-0.10; ; ; 0.231; -4.672;A ; ;CTIO   ; ;HIP   6206       ;019.88914;-39.36260
HIP   6273;  6273; ;8129    ;G7 V                  ; ; 5507; 4.50; 1.0;-0.21; ; ; 0.178; -4.915;I ; ;SO     ; ;HIP   6273       ;020.12512;-19.94897
HIP   6276;  6276; ;-12 243 ;G9 V (k)              ; ;     ;     ;    ;     ; ; ; 0.513;       ;  ; ;SO     ; ;HIP   6276       ;020.13445;-11.46770
HIP   6351;  6351; ;        ;M0 V (k)              ; ;     ;     ;    ;     ; ; ; 0.884; -4.954;I ; ;CTIO   ; ;HIP   6351       ;020.39414;-41.65640
HIP   6390;  6390; ;8326    ;K3- V                 ; ; 4805; 4.50; 1.0; 0.04; ; ; 0.302; -4.805;I ; ;SO     ; ;HIP   6390       ;020.53172;-26.89310
HIP   6414;  6414; ;        ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.274; -4.655;A ; ;CTIO   ; ;HIP   6414       ;020.59612;-33.21423
HIP   6455;  6455; ;8406    ;G3 V                  ; ; 5752; 4.52; 1.0;-0.03; ; ; 0.195; -4.822;I ; ;SO     ;S;HIP   6455       ;020.75364;-16.48746
HIP   6456;  6456; ;8389    ;K0 V CN+2             ; ;     ;     ;    ;     ; ; ; 0.178; -5.013;I ; ;SO     ; ;HIP   6456       ;020.76099;-12.96607
HIP   6567;  6567; ;        ;M0.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP   6567       ;021.09213;-44.13632
HIP   6626;  6626; ;        ;K7 V (k)              ; ;     ;     ;    ;     ; ; ; 1.826; -4.697;A ; ;CTIO   ; ;HIP   6626       ;021.25755;-32.85112
HIP   6693;  6693; ;8821    ;G8 V Fe+0.6           ; ; 5344; 4.33; 1.0;-0.13; ; ; 0.224; -4.774;I ; ;CTIO   ; ;HIP   6693       ;021.48378;-47.89887
HIP   6748;  6748; ;8829    ;F0.5 V                ; ; 7089; 3.91; 2.0;-0.21; ; ;      ;       ;  ; ;SO     ; ;HIP   6748       ;021.71485;-13.05651
HIP   6856;  6856; ;9054    ;K2+ V k               ; ; 4720; 4.61; 1.0;-0.66; ; ; 0.911; -4.263;A ; ;CTIO   ; ;HIP   6856       ;022.03609;-52.63865
HIP   7018;  7018; ;9246    ;K2.5 V                ; ; 5007; 4.67; 1.0;-0.58; ; ; 0.219; -4.864;I ; ;SO     ; ;HIP   7018       ;022.60402;-29.25887
