#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:45:49 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:45:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/457/L99/table1&-order=I&-out=Name&-out=B-V&-out=log&lt;R&apos;HK&gt;&-out=&lt;Prot&gt;&-out=n_&lt;Prot&gt;&-out=RAJ2000&-out=DEJ2000&-out=TYC1&-out=TYC2&-out=TYC3&-out=HIP&-out=SpT&-out=r_SpT&-out=MKCat&MKCat=MKCat&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_14579099
#Name: J/ApJ/457/L99
#Title: 25yr CaII-HK observations of F-K nearby stars (Baliunas+, 1996)
#INFO	ivoid=ivo://cds.vizier/j/apj/457/l99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/457/l99	    IVOID of underlying data collection
#INFO	creator=Baliunas S.	    First author or institution
#INFO	cites=bibcode:1996ApJ...457L..99B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/457/L99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.14579099	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_457_L99_table1:
#Name: J/ApJ/457/L99/table1
#Title: *Time-averaged CaII fluxes and rotation periods for Wilson survey stars
#Column	Name	(A10)	HD name (or Sun)	[ucd=meta.id]
#Column	B-V	(F5.2)	[0.4/1.6] B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	log<R'HK>	(F6.3)	[-5.5/-4.1] R'_HK_ chromospheric activity (1)	[ucd=phot.flux;arith.ratio]
#Column	<Prot>	(I2)	[1/71] Measured rotation period unless flagged	[ucd=time.period]
#Column	n_<Prot>	(A1)	[n] Rotation from CaII/Rossby relation (2)	[ucd=meta.note]
#Column	RAJ2000	(F10.6)	? Tycho-2 right ascension (J2000) (3)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	? Tycho-2 declination (J2000) (3)	[ucd=pos.eq.dec;meta.main]
#Column	TYC1	(I4)	? Tycho-2 name, field 1	[ucd=meta.id.part;meta.main]
#Column	TYC2	(I4)	? Tycho-2 name, field 2	[ucd=meta.id.part;meta.main]
#Column	TYC3	(I1)	? Tycho-2 name, field 3	[ucd=meta.id.part;meta.main]
#Column	HIP	(I6)	? HIP number	[ucd=meta.id]
#Column	SpT	(a18)	MK Spectral Type (4)	[ucd=src.spType]
#Column	r_SpT	(A19)	Bibcode for Spectral Type (4)	[ucd=meta.ref;pos.frame]
#Column	MKCat	(a5)	Display data from Skiff, 2009-2014, Cat. B/mk, within 3"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Name;B-V;log<R'HK>;<Prot>;n_<Prot>;RAJ2000;DEJ2000;TYC1;TYC2;TYC3;HIP;SpT;r_SpT;MKCat;Simbad
HD 26913  ; 0.70;-4.391; 7; ;063.857445;+06.199655;  80; 204;1; 19855;G6V               ;2003AJ....126.2048G;MKCat;Simbad
HD 26923  ; 0.59;-4.503; 7;n;063.869998;+06.186865;  80; 874;1; 19859;G0V CH-0.4        ;2006AJ....132..161G;MKCat;Simbad
HD 26965  ; 0.82;-4.872;43; ;063.823232;-07.644868;5312;2325;1; 19849;K0V               ;1989ApJS...71..245K;MKCat;Simbad
HD 29645  ; 0.57;-5.110;17;n;070.459402;+38.280185;2893;2218;1; 21847;F9IV-V            ;2003AJ....126.2048G;MKCat;Simbad
HD 30495  ; 0.63;-4.511;11; ;071.901214;-16.934454;5892;1953;1; 22263;G2.5IV-V          ;1989ApJS...71..245K;MKCat;Simbad
HD 32147  ; 1.06;-4.948;47;n;075.204168;-05.753622;4762;1490;1; 23311;K3+V              ;2003AJ....126.2048G;MKCat;Simbad
HD 33608  ; 0.46;-4.628; 3;n;077.829905;-02.490782;4755;1678;1; 24162;F5.5IV-V          ;2006AJ....132..161G;MKCat;Simbad
HD 35296  ; 0.53;-4.378; 4; ;081.106098;+17.383536;1300;2225;1; 25278;F8V               ;2003AJ....126.2048G;MKCat;Simbad
HD 37394  ; 0.84;-4.454;11; ;085.334737;+53.481049;3749;1334;1; 26779;K0V               ;2003AJ....126.2048G;MKCat;Simbad
HD 39587  ; 0.59;-4.426; 5; ;088.595733;+20.276192;1320;2118;1; 27913;G0V               ;1989ApJS...71..245K;MKCat;Simbad
HD 43587  ; 0.61;-5.001;20;n;094.317225;+05.100097; 140;1840;1; 29860;G0V               ;2006AJ....132..161G;MKCat;Simbad
HD 45067  ; 0.56;-5.094; 8; ;096.318943;-00.945876;4785;2407;1; 30545;F9V               ;2006AJ....132..161G;MKCat;Simbad
HD 61421  ; 0.42;-4.777; 3;n;114.825493;+05.224993; 187;2184;1; 37279;F5IV-V            ;1978rmsa.book.....M;MKCat;Simbad
HD 72905  ; 0.62;-4.375; 5; ;129.798760;+65.020910;4133;1971;1; 42438;G0.5V             ;2001AJ....121.2148G;MKCat;Simbad
HD 75332  ; 0.49;-4.464; 4; ;132.634263;+33.285064;2488; 849;1; 43410;F7Vs              ;1976PASP...88...95C;MKCat;Simbad
HD 76151  ; 0.67;-4.659;15; ;133.574784;-05.434469;4873;1792;1; 43726;G2V               ;1989ApJS...71..245K;MKCat;Simbad
HD 76572  ; 0.43;-4.924; 4;n;134.494446;+30.233817;2485;2097;1; 44031;F4V               ;2008ApJS..176..216A;MKCat;Simbad
HD 78366  ; 0.60;-4.608;10; ;137.212787;+33.882203;2495; 846;1; 44897;G0IV-V            ;2003AJ....126.2048G;MKCat;Simbad
HD 81809  ; 0.64;-4.921;41; ;141.944946;-06.071227;4893;1379;1; 46404;G5V Fe-1 CH-0.8   ;2006AJ....132..161G;MKCat;Simbad
HD 82443  ; 0.77;-4.211; 6; ;143.182327;+26.988558;1962; 469;1; 46843;K1V (k)           ;2006AJ....132..161G;MKCat;Simbad
HD 82885  ; 0.77;-4.638;18; ;143.914610;+35.810207;2500;1533;1; 47080;G8Va              ;1989ApJS...71..245K;MKCat;Simbad
HD 88355  ; 0.46;-4.819; 5;n;152.909212;+13.355118; 836;1522;1; 49929;F6V               ;1981ApJS...45..437A;MKCat;Simbad
HD 88737  ; 0.56;-4.622; 8;n;153.623952;+21.168054;1425;1567;1; 50174;F9V               ;1979PASP...91...83C;MKCat;Simbad
HD 89744  ; 0.54;-5.120; 9; ;155.544014;+41.229540;3004; 578;1; 50786;F8IV              ;2003AJ....126.2048G;MKCat;Simbad
HD 95735  ; 1.51;-5.451;53; ;165.834154;+35.969800;2521;2279;1; 54035;M2V               ;1991ApJS...77..417K;MKCat;Simbad
HD 97334  ; 0.61;-4.422; 8; ;168.134795;+35.814079;2522;2245;1; 54745;G1V               ;2003AJ....126.2048G;MKCat;Simbad
HD 100180 ; 0.57;-4.922;14; ;172.937270;+14.364516; 862;1208;1; 56242;F9.5V             ;2003AJ....126.2048G;MKCat;Simbad
HD 100563 ; 0.46;-4.674; 4;n;173.591460;+03.060171; 274;1078;1; 56445;F5.5V             ;2006AJ....132..161G;MKCat;Simbad
HD 101501 ; 0.72;-4.546;17; ;175.262568;+34.201646;2525;2445;1; 56997;G8V               ;1989ApJS...71..245K;MKCat;Simbad
HD 103095 ; 0.75;-4.896;31; ;178.233449;+37.731935;3014; 574;1; 57939;K1V Fe-1.5        ;2003AJ....126.2048G;MKCat;Simbad
HD 106516 ; 0.46;-4.651; 7; ;183.793996;-10.312261;5522;1684;1; 59750;F9V Fe-1.7 CH-0.7 ;2006AJ....132..161G;MKCat;Simbad
HD 107213 ; 0.50;-5.103; 9; ;184.873027;+28.156925;1991;1896;1; 60098;F8IV-V            ;2001AJ....121.2148G;MKCat;Simbad
HD 111456 ; 0.46;-4.402; 1;n;192.164436;+60.319893;4162;1200;1; 62512;F7V               ;1978PASP...90..429L;MKCat;Simbad
HD 114378 ; 0.45;-4.530; 3; ;197.497029;+17.529440;1454;1134;1; 64241;F5.5V             ;2003AJ....126.2048G;MKCat;Simbad
HD 114710 ; 0.57;-4.745;12; ;197.968310;+27.878049;1996;2400;1; 64394;F9.5V             ;1989ApJS...71..245K;MKCat;Simbad
HD 115043 ; 0.60;-4.428; 6; ;198.404207;+56.708267;3846; 925;1; 64532;G1Va              ;1989ApJS...71..245K;MKCat;Simbad
HD 115383 ; 0.58;-4.443; 3; ;199.193814;+09.424152; 891; 624;1; 64792;G0IV              ;2001AJ....121.2148G;MKCat;Simbad
HD 115404 ; 0.93;-4.480;18; ;199.212701;+17.017207;1451;1151;1; 64797;K2.5V (k)         ;2003AJ....126.2048G;MKCat;Simbad
HD 115617 ; 0.71;-5.001;29; ;199.603898;-18.308666;6116;1517;1; 64924;G7V               ;2006AJ....132..161G;MKCat;Simbad
HD 120136 ; 0.47;-4.731; 4; ;206.815595;+17.456895;1460; 132;1; 67275;F7IV-V            ;2001AJ....121.2148G;MKCat;Simbad
HD 124570 ; 0.54;-5.156;26; ;213.521582;+12.959445; 908;1283;1; 69536;F8V               ;2009ApJS..180..117A;MKCat;Simbad
HD 124850 ; 0.52;-4.682; 7;n;214.003683;-05.999562;4982;1645;1; 69701;F7III             ;2001AJ....121.2148G;MKCat;Simbad
HD 126053 ; 0.63;-4.957;22;n;215.813686;+01.241577; 318; 438;1; 70319;G1.5V             ;2003AJ....126.2048G;MKCat;Simbad
HD 129333 ; 0.61;-4.152; 3; ;219.750899;+64.291623;4176; 540;1; 71631;G5V Fe-0.7 CH-1(k);2003AJ....126.2048G;MKCat;Simbad
HD 131156A; 0.76;-4.363; 6; ;222.847025;+19.100625;1481; 722;1; 72659;G7V               ;2003AJ....126.2048G;MKCat;Simbad
HD 131156B; 1.17;-4.424;11; ;222.846050;+19.101880;1481; 722;2; 72659;K5V               ;1981ApJS...45..437A;MKCat;Simbad
HD 136202 ; 0.54;-5.088;14;n;229.828327;+01.765430; 336;1027;1; 74975;F8IV              ;2001AJ....121.2148G;MKCat;Simbad
HD 137107 ; 0.58;-4.828;14;n;230.800962;+30.288212;2563;1366;1; 75312;F9V+              ;2001AJ....121.2148G;MKCat;Simbad
HD 141004 ; 0.60;-5.004;26; ;236.610889;+07.353074; 364;1224;1; 77257;G0-V              ;1989ApJS...71..245K;MKCat;Simbad
HD 142373 ; 0.56;-5.042;15;n;238.168928;+42.451527;3057;2021;1; 77760;G0V Fe-0.8 CH-0.5 ;2003AJ....126.2048G;MKCat;Simbad
HD 143761 ; 0.60;-5.039;17; ;240.261085;+33.303506;2576;2228;1; 78459;G0+Va Fe-1        ;1989ApJS...71..245K;MKCat;Simbad
HD 149661 ; 0.82;-4.583;21; ;249.089373;-02.324532;5052; 996;1; 81300;K0V (k)           ;2006AJ....132..161G;MKCat;Simbad
HD 152391 ; 0.76;-4.448;11; ;253.245015;-00.026278;5051;1354;1; 82588;G8.5V (k)         ;2006AJ....132..161G;MKCat;Simbad
HD 154417 ; 0.57;-4.533; 8; ;256.320077;+00.702586; 398;1908;1; 83601;F8.5IV-V          ;1989ApJS...71..245K;MKCat;Simbad
HD 155885 ; 0.86;-4.559;21; ;258.838628;-26.600054;6820; 326;2; 84405;K1.5V (k)         ;2006AJ....132..161G;MKCat;Simbad
HD 155886 ; 0.86;-4.570;21; ;258.837873;-26.598892;6820; 326;1; 84405;K0V               ;1984ApJS...55..657C;MKCat;Simbad
HD 156026 ; 1.16;-4.662;21; ;259.055675;-26.546088;6820; 293;1; 84478;K5V (k)           ;2006AJ....132..161G;MKCat;Simbad
HD 157856 ; 0.46;-4.674; 4;n;261.491152;-01.651784;5067;1552;1; 85307;F6IV-V            ;1989AJ.....98.1049G;MKCat;Simbad
HD 158614 ; 0.72;-5.028;34;n;262.599154;-01.062933;5080;2188;1; 85667;G9-IV-V Hdel1     ;1989ApJS...71..245K;MKCat;Simbad
HD 159332 ; 0.48;-5.006; 7;n;263.345103;+19.256673;1546; 208;1; 85912;F4V               ;1976PASP...88...95C;MKCat;Simbad
HD 160346 ; 0.96;-4.795;37; ;264.820485;+03.555242; 419;1909;1; 86400;K2.5V             ;2003AJ....126.2048G;MKCat;Simbad
HD 161239 ; 0.65;-5.164;29;n;265.839854;+24.327830;2077;4273;1; 86731;G2IIIb            ;1989ApJS...71..245K;MKCat;Simbad
HD 165341A; 0.86;-4.548;20; ;271.364044;+02.499810; 434;5213;1; 88601;K0-V              ;2003AJ....126.2048G;MKCat;Simbad
HD 165341B; 1.16;-4.710;34;n;271.364253;+02.499004; 434;5212;1; 88601;K4V               ;1967AJ.....72.1334C;MKCat;Simbad
HD 166620 ; 0.87;-4.955;43; ;272.405894;+38.457771;3102;1975;1; 88972;K2V               ;2003AJ....126.2048G;MKCat;Simbad
HD 176051 ; 0.59;-4.874;16;n;284.256126;+32.901603;2643;3345;1; 93017;F9V               ;2001AJ....121.2148G;MKCat;Simbad
HD 176095 ; 0.46;-4.671; 4;n;284.598772;+06.239930; 461; 330;1; 93138;F5IV              ;1976PASP...88...95C;MKCat;Simbad
HD 178428 ; 0.70;-5.048;22; ;286.988840;+16.853386;1586;4530;1; 93966;G4V CN+0.5        ;2006AJ....132..161G;MKCat;Simbad
HD 182101 ; 0.44;-4.608; 2;n;290.701459;+09.913147;1046; 299;1; 95253;F6V               ;1989AJ.....98.1049G;MKCat;Simbad
HD 182572 ; 0.77;-5.099;41; ;291.242501;+11.944428;1063; 519;1; 95447;G7IV Hdel1        ;1989ApJS...71..245K;MKCat;Simbad
HD 185144 ; 0.80;-4.832;27; ;293.089967;+69.661164;4448;2481;1; 96100;K0V               ;1989ApJS...71..245K;MKCat;Simbad
HD 187013 ; 0.47;-4.922; 6;n;296.606665;+33.727575;2660;4227;1; 97295;F5.5IV-V          ;2003AJ....126.2048G;MKCat;Simbad
HD 187691 ; 0.55;-5.026;10; ;297.756847;+10.415733;1062;2701;1; 97675;F8V               ;2001AJ....121.2148G;MKCat;Simbad
HD 188512 ; 0.86;-5.173;52;n;298.828301;+06.406793; 493;3355;1; 98036;G8IV              ;1989ApJS...71..245K;MKCat;Simbad
HD 190007 ; 1.17;-4.692;29; ;300.696028;+03.326183; 498;2720;1; 98698;K5V               ;1991ApJS...77..417K;MKCat;Simbad
HD 190360 ; 0.73;-5.102;38;n;300.905856;+29.896781;2153;2883;1; 98767;G7IV-V            ;2006AJ....132..161G;MKCat;Simbad
HD 190406 ; 0.61;-4.797;14; ;301.025941;+17.070187;1621;1499;1; 98819;G0V               ;2006AJ....132..161G;MKCat;Simbad
HD 194012 ; 0.51;-4.720; 7; ;305.718207;+14.551104;1086;2190;1;100511;F7V               ;2003AJ....126.2048G;MKCat;Simbad
HD 201091 ; 1.18;-4.764;35; ;316.712372;+38.741934;3168;2800;1;104214;K5V               ;1989ApJS...71..245K;MKCat;Simbad
HD 201092 ; 1.37;-4.891;38; ;316.730291;+38.742108;3168;2798;1;104217;K7V               ;1989ApJS...71..245K;MKCat;Simbad
HD 206860 ; 0.59;-4.416; 5; ;326.130543;+14.771946;1133;1258;1;107350;G0V CH-0.5        ;2006AJ....132..161G;MKCat;Simbad
HD 207978 ; 0.42;-4.890; 3; ;328.124656;+28.793542;2214;2037;1;107975;F2V               ;1995ApJS...99..135A;MKCat;Simbad
HD 212754 ; 0.52;-5.073;12; ;336.655783;+04.393760; 563; 833;1;110785;F8IV-V            ;2001AJ....121.2148G;MKCat;Simbad
HD 216385 ; 0.48;-5.025; 7;n;343.100315;+09.835665;1153;1558;1;112935;F6V               ;2003AJ....126.2048G;MKCat;Simbad
HD 217014 ; 0.67;-5.074;37; ;344.366587;+20.768825;1717;2193;1;113357;G2IV              ;1989ApJS...71..245K;MKCat;Simbad
HD 219834A; 0.80;-5.066;42; ;349.777152;-13.458448;5827;1271;1;115126;G8.5IV            ;2006AJ....132..161G;MKCat;Simbad
HD 219834B; 0.91;-4.944;43; ;349.776556;-13.455002;5827;1270;1;      ;K2                ;1985ApJS...59..197B;MKCat;Simbad
HD 224930 ; 0.67;-4.875;33; ;000.542446;+27.082090;1732;2731;1;   171;G5Vb Fe-2         ;1989ApJS...71..245K;MKCat;Simbad

