#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
CD-43 6810             ;    9;  6;1121; 50;2004-01-12T08:12:39.355;2007-03-14T05:37:25.758; 9.824; 0.010;1997A&A...323L..49P; 0.559; 0.009;2007A&A...474..653V;  7.456; 0.042;2018A&A...616A...1G; 134.12;0;F9;6011; 28.0; 4.17; 0.02;-0.44; 0.02;2017A&A...606A..94D; 0.896; 0.013; 1.211; 0.020; 9.944; 2.202; 0.1657; 0.1669; 0.0013; 0.0048;-4.8931;-4.8858; 0.0076; 1.279; 1.301; 0.022; 0.083;Simbad;167.16707;-44.25939
CD-45 12460            ;    4;  2; 653; 40;2004-08-13T03:15:57.557;2007-05-11T07:36:47.759;10.924; 0.010;1997A&A...323L..49P; 0.520; 0.036;2007A&A...474..653V;  4.490; 0.043;2018A&A...616A...1G; 222.72;0;G0;5960; 69.0; 4.20; 0.06;-0.86; 0.05;2017A&A...606A..94D; 0.801; 0.018; 1.205; 0.021;12.307; 6.415; 0.1660; 0.1657; 0.0018; 0.0014;-4.8453;-4.8469; 0.0101; 1.428; 1.423; 0.033; 0.027;Simbad;276.25769;-45.47983
CD-45 14066            ;   10;  3;2562; 38;2006-07-01T08:36:09.174;2013-07-08T08:12:16.731; 9.724; 0.010;1997A&A...323L..49P; 1.008; 0.010;2007A&A...474..653V; 25.745; 0.039;2018A&A...616A...1G;  38.84;0;K3;4748; 58.0; 4.56; 0.16;-0.14; 0.03;thiswork           ; 0.723; 0.016; 0.679; 0.015; 5.528; 4.805; 0.5878; 0.6074; 0.0480; 0.0219;-4.5435;-4.5288; 0.0370; 2.861; 2.960; 0.243; 0.111;Simbad;312.91320;-45.45598
CD-45 2997             ;    6;  1;   1; 45;2003-11-04T08:01:28.409;2004-10-13T09:09:29.685;10.726;      ;Simbad             ; 0.715;      ;Simbad             ;  9.496; 0.024;2018A&A...616A...1G; 105.31;0;G9;5312; 34.0; 4.42; 0.06;-0.84; 0.03;2017A&A...606A..94D; 0.791; 0.009; 0.847; 0.019; 0.018; 0.001; 0.2112; 0.2112; 0.0018; 0.0000;-4.8196;-4.8196; 0.0065; 1.515; 1.515; 0.023; 0.000;Simbad;107.87101;-46.19878
CD-46 8007             ;    7;  1;   1; 45;2004-02-12T08:11:14.511;2015-03-05T07:29:21.970; 9.883; 0.010;1997A&A...323L..49P; 1.075; 0.002;2007A&A...474..653V; 23.377; 0.041;2018A&A...616A...1G;  42.78;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.4193; 0.4193; 0.0038; 0.0000;       ;       ;       ;      ;      ;      ;      ;Simbad;188.72444;-47.28873
CD-47 502              ;    7;  3;2936; 45;2004-08-13T09:21:50.909;2016-08-24T10:05:55.727; 9.865; 0.010;1997A&A...323L..49P; 1.149; 0.011;2007A&A...474..653V; 28.465; 0.029;2018A&A...616A...1G;  35.13;0;K5;4462;147.0; 4.53; 0.47; 0.05; 0.04;thiswork           ; 0.720; 0.015; 0.664; 0.011; 5.264; 5.061; 0.6281; 0.6278; 0.0064; 0.0450;-4.7220;-4.7223; 0.0044; 1.897; 1.896; 0.019; 0.137;Simbad;024.92404;-46.50995
CD-50 2419             ;   23;  7;3231; 47;2004-01-13T03:52:03.522;2017-11-12T05:47:52.719; 9.928; 0.010;1997A&A...323L..49P; 0.938; 0.015;2007A&A...474..653V; 18.471; 0.018;2018A&A...616A...1G;  54.14;0;K3;4850;114.0; 4.46; 0.27; 0.05; 0.05;thiswork           ; 0.806; 0.023; 0.757; 0.015; 5.657; 5.000; 0.2318; 0.2313; 0.0023; 0.0198;-4.9090;-4.9099; 0.0053; 1.233; 1.231; 0.015; 0.127;Simbad;102.60020;-51.04565
CD-50 6525             ;   16;  5;4359; 51;2004-02-15T06:42:52.999;2018-04-07T04:48:45.779;10.326; 0.010;1997A&A...323L..49P; 1.018; 0.002;2007A&A...474..653V; 17.582; 0.030;2018A&A...616A...1G;  56.88;0;K4;4727; 96.0; 4.45; 0.28; 0.15; 0.06;thiswork           ; 0.792; 0.021; 0.737; 0.017; 5.423; 5.004; 0.2721; 0.2881; 0.0029; 0.0416;-4.9120;-4.8852; 0.0050; 1.225; 1.303; 0.014; 0.204;Simbad;179.49074;-51.50059
CD-51 2481             ;   20;  3; 344; 42;2004-01-02T07:40:24.019;2018-04-09T02:45:50.794;10.171; 0.010;1997A&A...323L..49P; 0.917; 0.020;2007A&A...474..653V; 19.904; 0.021;2018A&A...616A...1G;  50.24;0;K3;4806;526.0; 4.77; 1.13;-0.42; 0.17;thiswork           ;      ;      ;      ;      ;      ;      ; 0.2298; 0.2300; 0.0024; 0.0069;-4.8962;-4.8957; 0.0055; 1.270; 1.271; 0.016; 0.047;Simbad;111.20125;-51.32744
CD-53 2307             ;   26; 18; 122; 71;2004-01-13T05:54:52.552;2011-04-13T00:39:42.914; 9.478; 0.010;1997A&A...323L..49P; 0.766; 0.015;2007A&A...474..653V; 19.044; 0.027;2018A&A...616A...1G;  52.51;0;K1;5138; 78.0; 4.48; 0.38;-0.48; 0.05;thiswork           ; 0.740; 0.020; 0.739; 0.027; 7.044;11.299; 0.1726; 0.1724; 0.0011; 0.0054;-5.0010;-5.0019; 0.0052; 0.998; 0.996; 0.012; 0.058;Simbad;127.40757;-54.27584
CD-53 251              ;   28;  1;   1; 55;2008-11-11T01:58:18.880;2008-11-13T02:46:35.051;10.706; 0.050;2000A&A...355L..27H; 0.514; 0.078;2000A&A...355L..27H;  2.411; 0.027;2018A&A...616A...1G; 414.77;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.2719; 0.2719; 0.0008; 0.0000;       ;       ;       ;      ;      ;      ;      ;Simbad;019.43124;-52.55855
CD-53 5829             ;   24;  1;   1; 36;2006-04-05T08:46:29.489;2018-02-10T06:50:31.094;10.207;      ;1979A&AS...38..355L; 1.051;      ;1979A&AS...38..355L;  1.229; 0.038;2018A&A...616A...1G; 813.67;0;G8;5455; 51.0; 3.32; 0.10; 0.18; 0.05;thiswork           ; 2.392; 0.049; 7.588; 0.332; 0.761; 0.041; 0.1766; 0.1766; 0.0121; 0.0000;-5.0802;-5.0802; 0.0323; 0.831; 0.831; 0.062; 0.000;Simbad;225.95838;-54.24175
CD-56 1617             ;   29; 16;3935; 62;2004-01-13T03:45:37.688;2014-12-03T08:14:53.813; 9.472; 0.010;1997A&A...323L..49P; 0.723; 0.015;2007A&A...474..653V; 18.218; 0.017;2018A&A...616A...1G;  54.89;0;K0;5260; 33.0; 4.37; 0.07;-0.58; 0.03;thiswork           ; 0.781; 0.008; 0.810; 0.019; 0.025; 0.002; 0.1721; 0.1731; 0.0013; 0.0082;-4.9871;-4.9823; 0.0064; 1.030; 1.042; 0.015; 0.098;Simbad;100.64548;-56.44510
CD-58 4411             ;   27; 24; 839; 47;2005-02-06T07:55:52.431;2007-05-26T01:18:26.079;10.071; 0.030;2000A&A...355L..27H; 1.073; 0.076;2000A&A...355L..27H;  9.350; 0.350;2016A&A...595A...2G; 106.95;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 1.8063; 1.8121; 0.0078; 0.1189;       ;       ;       ;      ;      ;      ;      ;Simbad;182.42441;-58.91252
CD-60 1611             ;    4;  2; 349; 41;2004-02-22T03:07:49.125;2005-02-05T03:09:35.722;10.039; 0.010;1997A&A...323L..49P; 0.960; 0.009;2007A&A...474..653V; 18.732; 0.021;2018A&A...616A...1G;  53.38;0;K3;4873;127.0; 4.55; 0.32; 0.12; 0.06;thiswork           ; 0.804; 0.022; 0.749; 0.016; 4.944; 4.738; 0.5314; 0.5331; 0.0044; 0.0112;-4.5283;-4.5269; 0.0039; 2.963; 2.972; 0.026; 0.067;Simbad;104.18165;-60.68699
CD-61 6641             ;    3;  1;   1; 46;2003-10-31T02:11:27.884;2013-07-08T09:34:57.476; 9.814; 0.010;1997A&A...323L..49P; 1.046; 0.010;2007A&A...474..653V; 28.487; 0.025;2018A&A...616A...1G;  35.10;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3555; 0.3555; 0.0031; 0.0000;       ;       ;       ;      ;      ;      ;      ;Simbad;328.85354;-61.21004
CD-63 1609             ;    3;  1;   1; 52;2006-07-28T07:41:11.707;2013-12-20T01:22:03.980; 9.356; 0.010;1997A&A...323L..49P; 0.773; 0.002;2007A&A...474..653V; 18.885; 0.029;2018A&A...616A...1G;  52.95;0;G9;5345; 50.0; 4.49; 0.12;-0.04; 0.03;thiswork           ;      ;      ;      ;      ;      ;      ; 0.1867; 0.1867; 0.0017; 0.0000;-4.9431;-4.9431; 0.0070; 1.140; 1.140; 0.018; 0.000;Simbad;352.89817;-62.92292
CD-67 45               ;   20;  5;1848; 41;2004-12-02T03:38:35.754;2010-09-16T06:31:51.563;10.070; 0.010;1997A&A...323L..49P; 0.961; 0.005;2007A&A...474..653V; 23.843; 0.027;2018A&A...616A...1G;  41.94;0;K3;4790; 74.0; 4.62; 0.21;-0.42; 0.03;thiswork           ; 0.661; 0.014; 0.620; 0.014; 4.646; 4.537; 0.3680; 0.3660; 0.0056; 0.0272;-4.7018;-4.7044; 0.0073; 1.987; 1.975; 0.033; 0.162;Simbad;016.38417;-66.74239
CD-71 1234             ;   10;  2;   1; 50;2004-05-16T04:25:54.215;2004-05-17T08:20:17.136;10.357; 0.040;2000A&A...355L..27H; 0.340; 0.057;2000A&A...355L..27H;  5.891; 0.036;2018A&A...616A...1G; 169.75;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 1.1187; 1.1188; 0.0086; 0.0017;       ;       ;       ;      ;      ;      ;      ;Simbad;241.93601;-71.35038
CD-73 118              ;    1;  1;   1; 46;2006-11-19T01:10:09.831;2006-11-19T01:10:09.831; 9.728; 0.030;2000A&A...355L..27H; 0.454; 0.042;2000A&A...355L..27H;  4.082; 0.029;2018A&A...616A...1G; 244.98;0;F7;6215;123.0; 3.98; 0.13;-0.35; 0.08;thiswork           ; 1.249; 0.055; 2.107; 0.094; 3.508; 0.421; 0.2683; 0.2683; 0.0027; 0.0000;-4.4189;-4.4189; 0.0062; 3.812; 3.812; 0.055; 0.000;Simbad;040.21372;-73.43717
CD-74 119              ;    9;  1;   1; 35;2004-08-13T10:25:31.937;2011-11-11T02:16:05.325; 9.810; 0.010;1997A&A...323L..49P; 0.869; 0.002;2007A&A...474..653V; 19.855; 0.023;2018A&A...616A...1G;  50.37;0;K2;4949;153.0; 4.71; 0.33;-0.25; 0.07;thiswork           ; 0.750; 0.024; 0.705; 0.017; 5.132; 4.812; 0.3500; 0.3500; 0.0037; 0.0000;-4.6316;-4.6316; 0.0054; 2.336; 2.336; 0.029; 0.000;Simbad;039.14818;-74.10922
CD-74 1370             ;    1;  1;   1; 51;2004-07-20T04:54:37.730;2004-07-20T04:54:37.730; 9.548; 0.010;1997A&A...323L..49P; 0.948; 0.005;2007A&A...474..653V; 26.029; 0.029;2018A&A...616A...1G;  38.42;0;K3;4845; 39.0; 4.60; 0.09;-0.26; 0.02;thiswork           ; 0.711; 0.014; 0.676; 0.016; 7.077; 4.703; 0.4041; 0.4041; 0.0032; 0.0000;-4.6424;-4.6424; 0.0037; 2.278; 2.278; 0.020; 0.000;Simbad;300.89724;-73.75377
CD-81 53               ;   12;  2;   5; 36;2004-12-20T00:56:51.828;2007-03-26T23:45:41.433; 9.649; 0.010;1997A&A...323L..49P; 0.758; 0.005;2007A&A...474..653V; 13.645; 0.025;2018A&A...616A...1G;  73.29;0;G6;5623; 83.0; 4.36; 0.14; 0.31; 0.06;thiswork           ; 0.999; 0.020; 0.907; 0.014; 1.227; 1.258; 0.3299; 0.3288; 0.0033; 0.0016;-4.5656;-4.5676; 0.0058; 2.719; 2.707; 0.036; 0.017;Simbad;026.09281;-80.57409
CD-84 80               ;   12;  7;  19; 28;2009-02-12T01:46:13.489;2009-03-04T04:15:18.447; 9.880; 0.073;2012AcA....62...67K; 0.804; 0.088;2012AcA....62...67K; 14.459; 0.025;2018A&A...616A...1G;  69.16;0;G9;5401; 54.0; 4.32; 0.08; 0.05; 0.04;thiswork           ; 0.906; 0.021; 0.814; 0.019; 1.550; 1.756; 0.7524; 0.7401; 0.0064; 0.0268;-4.1843;-4.1922; 0.0041; 6.542; 6.424; 0.062; 0.257;Simbad;112.74768;-84.32436
CPD-58 3092            ;   20;  2; 722;103;2007-04-06T03:08:59.391;2015-04-01T08:01:59.887; 7.419; 0.009;2011AJ....141..115C; 1.107; 0.016;2011AJ....141..115C;  2.080; 0.038;2018A&A...616A...1G; 480.77;0;K3;4938; 60.0; 2.78; 0.14; 0.07; 0.05;thiswork           ; 3.458; 0.087;22.830; 0.730; 0.285; 0.025; 0.0920; 0.0924; 0.0009; 0.0028;-5.4351;-5.4332; 0.0044; 0.367; 0.369; 0.004; 0.012;Simbad;166.51599;-58.68773
CPD-62 267             ;   11;  2; 284; 48;2004-10-11T07:15:59.183;2017-12-25T03:53:04.238; 9.990; 0.010;1997A&A...323L..49P; 0.826; 0.007;2007A&A...474..653V; 14.854; 0.022;2018A&A...616A...1G;  67.32;0;K0;5265; 45.0; 4.42; 0.11; 0.00; 0.03;thiswork           ; 0.865; 0.023; 0.792; 0.013; 2.502; 2.683; 0.1979; 0.1967; 0.0022; 0.0173;-4.9267;-4.9308; 0.0074; 1.184; 1.173; 0.020; 0.156;Simbad;050.19440;-62.27448
CPD-66 71              ;    8;  1;   1; 49;2004-08-13T08:23:20.854;2015-10-09T04:58:02.395;10.085; 0.010;1997A&A...323L..49P; 0.937; 0.022;2007A&A...474..653V; 18.586; 0.028;2018A&A...616A...1G;  53.80;0;K3;4857;153.0; 4.48; 0.45;-0.02; 0.08;thiswork           ; 0.780; 0.024; 0.727; 0.017; 4.858; 4.618; 0.1988; 0.1988; 0.0021; 0.0000;-4.9899;-4.9899; 0.0058; 1.023; 1.023; 0.014; 0.000;Simbad;014.08164;-65.44589
Cl* NGC 2360 MMU 66    ;   22;  1;   1; 36;2005-10-27T07:21:49.417;2009-09-25T09:10:52.619;11.230;      ;1986EgUBV........0M; 0.916;      ;1986EgUBV........0M;  0.837; 0.037;2018A&A...616A...1G;1194.74;0;G6;5572; 96.0; 3.71; 0.16; 0.26; 0.08;thiswork           ; 2.230; 0.064; 6.561; 0.405; 0.938; 0.078; 0.2373; 0.2373; 0.0028; 0.0000;-4.8407;-4.8407; 0.0062; 1.443; 1.443; 0.021; 0.000;Simbad;109.33106;-15.57330
Cl* NGC 2539 LCM 246   ;   27;  2;1101; 33;2005-10-29T07:49:27.811;2017-11-17T08:02:16.017;11.116;      ;Simbad             ; 0.944;      ;Simbad             ;  1.025; 0.031;2018A&A...616A...1G; 975.61;0;K0;5226; 43.0; 3.15; 0.08; 0.16; 0.04;thiswork           ; 2.267; 0.044; 6.752; 0.269; 0.886; 0.045; 0.2849; 0.2767; 0.0037; 0.0398;-4.7656;-4.7800; 0.0064; 1.715; 1.660; 0.025; 0.273;Simbad;122.63390;-12.77222
Cl* NGC 4349 MMU 53    ;   36;  1;   1; 58;2005-03-20T06:02:59.223;2015-04-01T05:40:34.712;11.280;      ;Simbad             ; 1.102;      ;Simbad             ;  1.004; 0.052;2018A&A...616A...1G; 996.02;0;K2;5035; 62.0; 3.00; 0.18; 0.09; 0.05;thiswork           ; 2.015; 0.099; 7.997; 0.612; 1.261; 0.205; 0.1987; 0.1987; 0.0014; 0.0000;-5.0752;-5.0752; 0.0032; 0.841; 0.841; 0.006; 0.000;Simbad;185.94207;-61.91005
CoRoT-2                ;   95;  2; 720; 26;2007-08-05T02:30:35.423;2017-09-04T05:32:29.670;12.537;      ;2009A&A...506..501C; 0.843;      ;2009A&A...506..501C;  4.661; 0.054;2018A&A...616A...1G; 214.55;1;G4;5697; 97.0; 4.61; 0.17;-0.09; 0.07;2013A&A...556A.150S; 0.840; 0.010; 0.725; 0.005; 0.128; 0.111; 0.5346; 0.5284; 0.0108; 0.0068;-4.3920;-4.3978; 0.0099; 4.055; 4.002; 0.093; 0.059;Simbad;291.77706;+01.38371
CoRoT-7                ;  181; 79;1437; 38;2008-03-02T00:44:53.486;2012-02-07T04:23:42.194;11.712; 0.150;2000A&A...355L..27H; 1.044; 0.309;2000A&A...355L..27H;  6.225; 0.035;2018A&A...616A...1G; 160.64;2;K0;5288; 27.0; 4.44; 0.07; 0.02; 0.02;2013A&A...556A.150S; 0.876; 0.023; 0.828; 0.014; 4.855; 3.151; 0.3660; 0.3511; 0.0029; 0.0373;-4.8068;-4.8259; 0.0036; 1.560; 1.493; 0.013; 0.167;Simbad;100.95612;-01.06301
G 270-111              ;    4;  2; 328; 45;2004-11-03T03:37:43.004;2011-09-14T07:17:46.758;10.054; 0.010;1997A&A...323L..49P; 1.045; 0.007;2007A&A...474..653V; 24.643; 0.041;2018A&A...616A...1G;  40.58;0;K4;4667; 80.0; 4.61; 0.22;-0.10; 0.04;thiswork           ; 0.709; 0.015; 0.659; 0.007; 4.837; 4.667; 0.7762; 0.7648; 0.0065; 0.0267;-4.4706;-4.4773; 0.0037; 3.383; 3.332; 0.029; 0.119;Simbad;015.09390;-13.59942
HD 10002               ;   24; 21;3331;107;2003-12-16T02:25:48.217;2013-01-28T01:02:39.289; 8.140; 0.010;1997A&A...323L..49P; 0.830; 0.036;2007A&A...474..653V; 29.289; 0.042;2018A&A...616A...1G;  34.14;0;G9;5313; 44.0; 4.43; 0.07; 0.17; 0.03;2008A&A...487..373S; 0.912; 0.029; 0.893; 0.021; 6.381; 3.881; 0.1543; 0.1542; 0.0010; 0.0029;-5.1026;-5.1032; 0.0047; 0.790; 0.788; 0.009; 0.025;Simbad;024.28595;-29.39326
HD 100069              ;    6;  2;   1;114;2005-05-11T01:17:38.144;2005-05-16T02:43:43.746; 7.955; 0.010;1997A&A...323L..49P; 0.667; 0.015;2007A&A...474..653V; 11.143; 0.070;2018A&A...616A...1G;  89.74;0;G0;5927; 29.0; 3.86; 0.04; 0.25; 0.02;thiswork           ; 1.363; 0.049; 1.942; 0.044; 3.506; 0.943; 0.1474; 0.1472; 0.0007; 0.0020;-5.1605;-5.1622; 0.0059; 0.691; 0.688; 0.009; 0.026;Simbad;172.75287;+09.62014
HD 100289              ;   11;  7;2648; 45;2004-02-01T07:22:31.058;2011-05-03T01:23:54.554; 8.995; 0.010;1997A&A...323L..49P; 0.748; 0.029;2007A&A...474..653V; 17.689; 0.043;2018A&A...616A...1G;  56.53;0;G8;5483; 33.0; 4.39; 0.05; 0.03; 0.02;2017A&A...606A..94D; 0.912; 0.022; 0.921; 0.019; 7.630; 2.577; 0.1669; 0.1681; 0.0016; 0.0072;-5.0230;-5.0174; 0.0084; 0.948; 0.961; 0.018; 0.080;Simbad;173.06016;-31.38292
HD 100508              ;   32; 31;2273;146;2004-01-11T08:20:23.817;2010-04-13T02:23:30.047; 7.736; 0.010;1997A&A...323L..49P; 0.827; 0.002;2007A&A...474..653V; 30.501; 0.029;2018A&A...616A...1G;  32.79;0;G8;5449; 61.0; 4.40; 0.09; 0.39; 0.05;2008A&A...487..373S; 0.994; 0.031; 0.970; 0.024; 3.716; 3.104; 0.1614; 0.1622; 0.0008; 0.0061;-5.0681;-5.0646; 0.0036; 0.855; 0.862; 0.007; 0.055;Simbad;173.30454;-67.05458
HD 100623              ;    4;  4;  98;123;2004-02-23T06:37:58.640;2004-05-31T01:22:54.056; 5.974; 0.010;1997A&A...323L..49P; 0.816; 0.007;2007A&A...474..653V;104.783; 0.052;2018A&A...616A...1G;   9.54;0;K1;5145; 25.0; 4.52; 0.05;-0.42; 0.02;thiswork           ; 0.721; 0.009; 0.725; 0.004;10.037;11.015; 0.2086; 0.2085; 0.0009; 0.0018;-4.8870;-4.8873; 0.0027; 1.297; 1.296; 0.008; 0.017;Simbad;173.62286;-32.83134
HD 10069               ;   23;  5;  10; 54;2008-08-21T04:13:48.627;2008-08-31T06:34:46.361; 9.257; 0.010;1997A&A...323L..49P; 0.482; 0.015;2007A&A...474..653V;  8.069; 0.024;2018A&A...616A...1G; 123.93;2;F5;6526; 69.0; 4.29; 0.08; 0.19; 0.05;2013A&A...556A.150S; 1.303; 0.017; 1.255; 0.015; 0.298; 0.237; 0.1565; 0.1585; 0.0012; 0.0021;-4.8530;-4.8411; 0.0073; 1.403; 1.442; 0.024; 0.041;Simbad;024.35431;-45.67788
